layer,checkpoint,policy,normalized_time
layer_06,5473,ecmp_p95,3.362453940984934
layer_07,3780,ecmp,2.5838207692987103
layer_07,3780,static_mean,1.6120826709062004
layer_07,3780,static_p95,1.6028499087322616
layer_07,3780,static_worst,1.628240004710593
layer_07,3780,oracle,1.136053700759583
layer_07,3780,ecmp_p95,3.318736383442266
layer_07,4320,ecmp,2.5563664040114613
layer_07,4320,static_mean,1.5782211708910419
layer_07,4320,static_p95,1.578546644425975
layer_07,4320,static_worst,1.6078392625699622
layer_07,4320,oracle,1.6138372748565881
layer_07,4320,ecmp_p95,3.2755830916498603
layer_07,4860,ecmp,2.5182042489784937
layer_07,4860,static_mean,1.5576335397328633
layer_07,4860,static_p95,1.554978196426732
layer_07,4860,static_worst,1.5590069931670691
layer_07,4860,oracle,1.1394627507983197
layer_07,4860,ecmp_p95,3.226934566389305
layer_07,5400,ecmp,2.5767259967542753
layer_07,5400,static_mean,1.6061932878658043
layer_07,5400,static_p95,1.5895009919121013
layer_07,5400,static_worst,1.6067567408937773
layer_07,5400,oracle,1.5983988543121765
layer_07,5400,ecmp_p95,3.3060782495392598
layer_07,5473,ecmp,2.578152344988783
layer_07,5473,static_mean,1.609556137610261
layer_07,5473,static_p95,1.591374105873924
layer_07,5473,static_worst,1.6070426009231962
layer_07,5473,oracle,1.6049284111864128
layer_07,5473,ecmp_p95,3.311003183030104
layer_08,3780,ecmp,2.5870353758988562
layer_08,3780,static_mean,1.1443828834138865
layer_08,3780,static_p95,1.625156194742426
layer_08,3780,static_worst,1.625156194742426
layer_08,3780,oracle,1.142166686313804
layer_08,3780,ecmp_p95,3.2976246610868793
layer_08,4320,ecmp,2.595758457947237
layer_08,4320,static_mean,1.1493063553090839
layer_08,4320,static_p95,1.6241148574027156
layer_08,4320,static_worst,1.6241148574027156
layer_08,4320,oracle,1.1398805832639394
layer_08,4320,ecmp_p95,3.317204396331272
layer_08,4860,ecmp,2.5939613669255985
layer_08,4860,static_mean,1.1572909590335825
layer_08,4860,static_p95,1.623723306849396
layer_08,4860,static_worst,1.623723306849396
layer_08,4860,oracle,1.6163511238444044
layer_08,4860,ecmp_p95,3.308987801636294
layer_08,5400,ecmp,2.5939167356777384
layer_08,5400,static_mean,1.156333737541037
layer_08,5400,static_p95,1.6402235958711662
layer_08,5400,static_worst,1.6402235958711662
layer_08,5400,oracle,1.1338795066694272
layer_08,5400,ecmp_p95,3.322108189642424
layer_08,5473,ecmp,2.5963863069716204
layer_08,5473,static_mean,1.1566778793765102
layer_08,5473,static_p95,1.6460652863978775
layer_08,5473,static_worst,1.6460652863978775
layer_08,5473,oracle,1.6261903633865542
layer_08,5473,ecmp_p95,3.325371914530724
layer_09,3780,ecmp,2.504989501037427
layer_09,3780,static_mean,1.135652154086437
layer_09,3780,static_p95,1.135652154086437
layer_09,3780,static_worst,1.135652154086437
layer_09,3780,oracle,1.135652154086437
layer_09,3780,ecmp_p95,3.1836702121595586
layer_09,4320,ecmp,2.5454794888098395
layer_09,4320,static_mean,1.1418540383646085
layer_09,4320,static_p95,1.1418540383646085
layer_09,4320,static_worst,1.1418540383646085
layer_09,4320,oracle,1.1418540383646085
layer_09,4320,ecmp_p95,3.2334493966061633
layer_09,4860,ecmp,2.580650575682018
layer_09,4860,static_mean,1.1555294807861543
layer_09,4860,static_p95,1.1555294807861543
layer_09,4860,static_worst,1.1555294807861543
layer_09,4860,oracle,1.1533235552948078
layer_09,4860,ecmp_p95,3.276620709885597
layer_09,5400,ecmp,2.579319798349868
layer_09,5400,static_mean,1.1444835839503196
layer_09,5400,static_p95,1.1501996506848107
layer_09,5400,static_worst,1.1501996506848107
