layer,expert_id,traffic_share_pct
layer_06,21,1.5219333333333334
layer_06,22,1.6437666666666666
layer_06,23,1.5960666666666667
layer_06,24,1.5247666666666666
layer_06,25,1.6004666666666667
layer_06,26,1.6429
layer_06,27,1.5724333333333333
layer_06,28,1.5378333333333334
layer_06,29,1.5196333333333334
layer_06,30,1.598
layer_06,31,1.5351666666666666
layer_06,32,1.4859666666666667
layer_06,33,1.6077
layer_06,34,1.5604333333333333
layer_06,35,1.5521333333333334
layer_06,36,1.6206666666666667
layer_06,37,1.5
layer_06,38,1.533
layer_06,39,1.5386666666666666
layer_06,40,1.6748
layer_06,41,1.4855
layer_06,42,1.6513666666666666
layer_06,43,1.7158
layer_06,44,1.5513
layer_06,45,1.4323666666666666
layer_06,46,1.5846666666666667
layer_06,47,1.5483666666666667
layer_06,48,1.5224333333333333
layer_06,49,1.5675666666666668
layer_06,50,1.6509666666666667
layer_06,51,1.5378333333333334
layer_06,52,1.6287
layer_06,53,1.5648
layer_06,54,1.5746333333333333
layer_06,55,1.4757666666666667
layer_06,56,1.5547
layer_06,57,1.576
layer_06,58,1.4865333333333333
layer_06,59,1.5124666666666666
layer_06,60,1.5256666666666667
layer_06,61,1.5717333333333334
layer_06,62,1.5299666666666667
layer_06,63,1.5479666666666667
layer_07,0,1.5609
layer_07,1,1.6343666666666667
layer_07,2,1.6071666666666666
layer_07,3,1.6275333333333333
layer_07,4,1.6378333333333333
layer_07,5,1.4999666666666667
layer_07,6,1.5115333333333334
layer_07,7,1.5411666666666666
layer_07,8,1.5175333333333334
layer_07,9,1.6028666666666667
layer_07,10,1.5608
layer_07,11,1.5234
layer_07,12,1.4819666666666667
layer_07,13,1.5926
layer_07,14,1.5421
layer_07,15,1.5111333333333334
layer_07,16,1.5676666666666668
layer_07,17,1.5952666666666666
layer_07,18,1.5172666666666668
layer_07,19,1.5536666666666668
layer_07,20,1.5518
layer_07,21,1.5072
layer_07,22,1.5474
layer_07,23,1.6193333333333333
layer_07,24,1.5736
layer_07,25,1.5348666666666666
layer_07,26,1.6567666666666667
layer_07,27,1.6372333333333333
layer_07,28,1.5386
